is_discounted,brand,weight,length,width,height
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
